uid,ise1,ise2,mse,ese
2021300018,0,0,0,77
2021300018,0,0,0,83
2021300018,0,0,0,54
2021300018,0,0,0,86
2021300018,0,0,0,62
2021300018,0,0,0,77
2021300018,0,0,0,62
2021300018,0,0,0,78
2021300018,0,0,0,36
2021300018,0,0,0,78
2021300018,0,0,0,86
2021300018,0,0,0,58
2021300018,0,0,0,58
2021300018,0,0,0,87
2021300018,0,0,0,56
2021300018,0,0,0,82
2021300018,0,0,0,78
2021300018,0,0,0,76
2021300018,0,0,0,91
2021300018,0,0,0,81
2021300018,0,0,0,74
2021300018,0,0,0,89
2021300018,0,0,0,79
2021300018,0,0,0,82
2021300018,0,0,0,79
2021300018,0,0,0,84
2021300018,0,0,0,77
2021300018,0,0,0,43
2021300018,0,0,0,77
2021300018,0,0,0,72
2021300018,0,0,0,72
2021300018,0,0,0,72
2021300018,0,0,0,94
2021300018,0,0,0,38
2021300018,0,0,0,84
2021300018,0,0,0,84
2021300018,0,0,0,19
2021300018,0,0,0,94
2021300018,0,0,0,55
2021300018,0,0,0,86
2021300018,0,0,0,76
2021300018,0,0,0,87
2021300018,0,0,0,61
2021300018,0,0,0,79
2021300018,0,0,0,81
2021300018,0,0,0,60
2021300018,0,0,0,63
2021300018,0,0,0,90
2021300018,0,0,0,40
2021300018,0,0,0,94
2021300018,0,0,0,60
2021300018,0,0,0,74
2021300018,0,0,0,53
2021300018,0,0,0,72
2021300018,0,0,0,90
2021300018,0,0,0,74
2021300018,0,0,0,79
2021300018,0,0,0,53
2021300018,0,0,0,72
2021300018,0,0,0,60
2021300018,0,0,0,39
2021300018,0,0,0,47
2021300018,0,0,0,74
2021300018,0,0,0,51
2021300018,0,0,0,55
2021300018,0,0,0,62
2021300018,0,0,0,78
2021300018,0,0,0,83
2021300018,0,0,0,39
2021300018,0,0,0,83
2021300018,0,0,0,65
2021300018,0,0,0,69
2021300018,0,0,0,77
2021300018,0,0,0,72
2021300018,0,0,0,83
2021300018,0,0,0,85
2021300018,0,0,0,30
2021300018,0,0,0,65
2021300018,0,0,0,71
2021300018,0,0,0,67
