uid,ise1,ise2,mse,ese
2021300001,9,7,16.5,59
2021300002,9,9,21,75
2021300003,6,9,10.5,70
2021300004,5,8,27,77
2021300005,8,9,9,66
2021300006,7,9,10.5,72
2021300007,6,8,6,72
2021300008,9,8,18,68
2021300009,4,8,18,47
2021300010,8,8,18,71
2021300011,7,8,13.5,72
2021300012,8,9,15,60
2021300013,9,9,16.5,60
2021300014,8,8,22.5,79
2021300015,4,9,10.5,55
2021300016,5,8,24,71
2021300017,5,6,25.5,72
2021300018,4,7,16.5,70
2021300019,7,9,16.5,76
2021300020,9,9,10.5,66
2021300021,3,6,4.5,45
2021300022,8,8,21,66
2021300023,7,9,13.5,72
2021300024,5,9,19.5,70
2021300025,3,7,24,76
2021300026,6,8,39,62
2021300027,5,7,24,60
2021300028,4,8,10.5,68
2021300029,4,7,21,72
2021300030,2,8,9,48
2021300031,7,8,6,52
2021300032,6,8,12,58
2021300033,9,8,24,71
2021300034,8,7,16.5,47
2021300035,9,8,52.5,59
2021300036,7,8,13.5,57
2021300037,2,6,3,25
2021300038,8,9,15,57
2021300039,4,9,19.5,40
2021300040,7,8,25.5,78
2021300041,7,9,21,62
2021300042,9,9,25.5,71
2021300043,7,8,18,64
2021300044,3,8,10.5,55
2021300045,7,10,25.5,66
2021300046,8,9,7.5,54
2021300047,5,9,10.5,56
2021300048,7,8,21,68
2021300049,6,9,15,63
2021300050,9,8,27,72
2021300051,7,7,13.5,59
2021300052,3,7,19.5,64
2021300053,8,7,7.5,35
2021300054,8,8,13.5,51
2021300055,7,8,12,60
2021300056,8,6,7.5,61
2021300057,7,8,18,58
2021300058,6,7,10.5,65
2021300059,8,9,18,61
2021300060,5,8,21,74
2021300061,4,8,4.5,37
2021300062,5,6,15,52
2021300063,8,8,24,70
2021300064,5,7,9,47
2021300065,5,8,6,50
2021300066,6,9,15,50
2021300067,6,5,25.5,82
2021300068,5,9,15,68
2021300069,3,9,12,71
2021300070,6,7,16.5,72
