uid,ise1,ise2,mse,ese
2021300001,17.25,0,26,92
2021300002,8.25,0,18,67.5
2021300003,12.25,0,10,50.5
2021300004,8,0,22,32.5
2021300005,12,0,26,56
2021300006,9.75,0,16,66
2021300007,13.75,0,26,82
2021300008,11.5,0,26,57
2021300009,15,0,19,82.5
2021300010,11,0,15,65
2021300011,11.25,0,16,79.5
2021300012,9.5,0,11,82.5
2021300013,11.75,0,14,66.5
2021300014,12,0,14,84.5
2021300015,11,0,12,56.5
2021300016,13.5,0,19,75.5
2021300017,14,0,25,71.5
2021300018,15,0,22,75.5
2021300019,14,0,21,92.5
2021300020,11,0,9,56
2021300021,15.5,0,28,93.5
2021300022,6.5,0,20,20.5
2021300023,18.5,0,26,94.5
2021300024,14.25,0,29,89.5
2021300025,12,0,19,78
2021300026,10,0,12,63
2021300027,17.25,0,27,81.5
2021300028,10.5,0,25,62.5
2021300029,7.25,0,4,24.5
2021300030,10.5,0,11,50
2021300031,12,0,29.5,75
2021300032,7,0,18,80
2021300033,8.25,0,23,23
2021300034,12.25,0,23,42
2021300035,9.5,0,13,70
2021300036,16.25,0,27,93.5
2021300037,17.5,0,24,87
2021300038,12,0,14,59.5
2021300039,8.5,0,2,13
2021300040,10.5,0,15.5,47.5
2021300041,12.75,0,27,83
2021300042,7,0,8,61.5
2021300043,5.5,0,18,84
2021300044,14,0,26,91
2021300045,14,0,18,39
2021300046,13.5,0,22,91
2021300047,15.75,0,17,84.5
2021300048,17,0,29,97
2021300049,16.5,0,30,95
2021300050,17,0,29,97
2021300051,16,0,12,69
2021300052,16,0,26,74.5
2021300053,11.75,0,24,74
2021300054,14,0,18,80.5
2021300055,13.5,0,20,78.5
2021300056,15.5,0,23,70
2021300057,12.75,0,27,81.5
2021300058,15.5,0,21,86.5
2021300059,16,0,28,93
2021300060,17,0,26,88
2021300061,13,0,13,68
2021300062,15.5,0,20,82.5
2021300063,14.5,0,22,97
2021300064,15.5,0,26,85.5
2021300065,13.25,0,18,61
2021300066,0,0,24,64
2021300067,14,0,25,80
2021300068,8.75,0,19,80.5
2021300069,17,0,27,69
2021300070,0,0,22,67
