uid,ise1,ise2,mse,ese
2021300001,9,7,16.5,75
2021300002,9,9,21,77
2021300003,6,9,10.5,40
2021300004,5,8,27,100
2021300005,8,9,9,47
2021300006,7,9,10.5,68
2021300007,6,8,6,55
2021300008,9,8,18,73
2021300009,4,8,18,20
2021300010,8,8,18,77
2021300011,7,8,13.5,93
2021300012,8,9,15,40
2021300013,9,9,16.5,37
2021300014,8,8,22.5,92
2021300015,4,9,10.5,50
2021300016,5,8,24,93
2021300017,5,6,25.5,93
2021300018,4,7,16.5,90
2021300019,7,9,16.5,98
2021300020,9,9,10.5,75
2021300021,3,6,4.5,93
2021300022,8,8,21,95
2021300023,7,9,13.5,75
2021300024,5,9,19.5,90
2021300025,3,7,24,98
2021300026,6,8,39,93
2021300027,5,7,24,88
2021300028,4,8,10.5,32
2021300029,4,7,21,92
2021300030,2,8,9,87
2021300031,7,8,6,70
2021300032,6,8,12,68
2021300033,9,8,24,100
2021300034,8,7,16.5,13
2021300035,9,8,52.5,83
2021300036,7,8,13.5,90
2021300037,2,6,3,5
2021300038,8,9,15,100
2021300039,4,9,19.5,48
2021300040,7,8,25.5,93
2021300041,7,9,21,73
2021300042,9,9,25.5,85
2021300043,7,8,18,52
2021300044,3,8,10.5,95
2021300045,7,10,25.5,78
2021300046,8,9,7.5,43
2021300047,5,9,10.5,58
2021300048,7,8,21,100
2021300049,6,9,15,17
2021300050,9,8,27,97
2021300051,7,7,13.5,53
2021300052,3,7,19.5,90
2021300053,8,7,7.5,38
2021300054,8,8,13.5,67
2021300055,7,8,12,100
2021300056,8,6,7.5,77
2021300057,7,8,18,82
2021300058,6,7,10.5,45
2021300059,8,9,18,63
2021300060,5,8,21,57
2021300061,4,8,4.5,25
2021300062,5,6,15,42
2021300063,8,8,24,70
2021300064,5,7,9,45
2021300065,5,8,6,48
2021300066,6,9,15,53
2021300067,6,5,25.5,93
2021300068,5,9,15,92
2021300069,3,9,12,25
2021300070,6,7,16.5,95
