uid,ECL,AIML,DSGT
2021300001,true,true,true
2021300002,true,true,true
2021300003,true,true,true
2021300004,true,true,true
2021300005,true,true,true
2021300006,true,true,true
2021300007,true,true,true
2021300008,true,true,true
2021300009,true,true,true
2021300010,true,true,true
2021300011,true,true,true
2021300012,true,true,true
2021300013,true,true,true
2021300014,true,true,true
2021300015,true,true,true
2021300016,true,true,true
2021300017,true,true,true
2021300018,true,true,true
2021300019,true,true,true
2021300020,true,true,true
2021300021,true,true,true
2021300022,true,true,true
2021300023,true,true,true
2021300024,true,true,true
2021300025,true,true,true
2021300026,true,true,true
2021300027,true,true,true
2021300028,true,true,true
2021300029,true,true,true
2021300030,true,true,true
2021300031,true,true,true
2021300032,true,true,true
2021300033,true,true,true
2021300034,true,true,true
2021300035,true,true,true
2021300036,true,true,true
2021300037,true,true,true
2021300038,true,true,true
2021300039,true,true,true
2021300040,true,true,true
2021300041,true,true,true
2021300042,true,true,true
2021300043,true,true,true
2021300044,true,true,true
2021300045,true,true,true
2021300046,true,true,true
2021300047,true,true,true
2021300048,true,true,true
2021300049,true,true,true
2021300050,true,true,true
2021300051,true,true,true
2021300052,true,true,true
2021300053,true,true,true
2021300054,true,true,true
2021300055,true,true,true
2021300056,true,true,true
2021300057,true,true,true
2021300058,true,true,true
2021300059,true,true,true
2021300060,true,true,true
2021300061,true,true,true
2021300062,true,true,true
2021300063,true,true,true
2021300064,true,true,true
2021300065,true,true,true
2021300066,true,true,true
2021300067,true,true,true
2021300068,true,true,true
2021300069,true,true,true
2021300070,true,true,true
